text,label,label_name,text_length,text_word_count
didnt feel humiliated,0,sadness,23,4
go feeling hopeless damned hopeful around someone care awake,0,sadness,108,21
im grabbing minute post feel greedy wrong,3,anger,48,10
ever feeling nostalgic fireplace know still property,2,love,92,18
feeling grouchy,3,anger,20,4
ive feeling little burdened lately wasnt sure,0,sadness,65,12
ive taking milligram time recommended amount ive fallen asleep lot faster also feel like funny,5,surprise,122,23
feel confused life teenager jaded year old man,4,fear,73,17
petronas year feel petronas performed well made huge profit,1,joy,98,19
feel romantic,2,love,19,4
feel like make suffering seeing mean something,0,sadness,66,14
feel running divine experience expect type spiritual encounter,1,joy,108,21
think easiest time year feel dissatisfied,3,anger,58,12
feel low energy thirsty,0,sadness,34,8
immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious,1,joy,219,42
feel reassured anxiety side,1,joy,47,10
didnt really feel embarrassed,0,sadness,36,6
feel pretty pathetic time,0,sadness,39,8
started feeling sentimental doll child began collection vintage barbie doll sixty,0,sadness,125,23
feel compromised skeptical value every unit work put,4,fear,80,17
feel irritated rejected without anyone anything saying anything,3,anger,78,12
feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful,4,fear,213,44
feeling amused delighted,1,joy,47,9
able help chai lifeline support encouragement great feeling glad able help,1,joy,129,27
already feel like fucked though dont usually eat morning,3,anger,87,18
still love wish best longer tolerate effect bm life fact turned bitter angry person always particularly kind people around feeling stressed,0,sadness,259,54
feel inhibited someone el kitchen like im painting someone el picture,0,sadness,86,15
become overwhelmed feel defeated,0,sadness,38,6
feel kinda appalled feel like need explain wide lenghth body measure etc pp,3,anger,107,21
feel superior dead chicken grieving child,1,joy,51,9
get giddy feeling elegant perfectly fitted pencil skirt,1,joy,67,12
remember feeling acutely distressed day,4,fear,52,9
seen heard read past couple day left feeling impressed company,5,surprise,112,23
climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,3,anger,176,34
imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,1,joy,257,45
sure would make feel content anything,1,joy,57,12
feeling need creative,1,joy,43,9
however want know something someone causing feel le splendid self step away,1,joy,127,25
feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,3,anger,140,29
need need someone need protected feel safe small find season word,1,joy,115,27
plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspired,1,joy,143,23
already christmas tree got two feeling festive sure spurring get started book,1,joy,127,27
ive worn little concealer day im feeling brave dont want pale perfect,1,joy,127,27
feel strongly passionate jerk decides poke make fun u,1,joy,91,18
feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,0,sadness,141,30
feeling listless need new thing something different,0,sadness,70,12
lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special,1,joy,289,64
let go sad feeling want accepted first home mine,2,love,93,22
boat trip denmark,1,joy,25,6
stopped feeling cold began feeling hot,3,anger,44,8
need feel dough make sure perfect,1,joy,54,12
found feeling little discouraged morning,0,sadness,56,9
feel selfish spoiled,3,anger,26,5
stymied little bit wrote feeling unsure might go somewhere story unintended,4,fear,104,20
bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind u,1,joy,175,33
feel know basically like fake realm science fiction,0,sadness,69,14
hate living dad roof give excuse asshole he providing live think feel need make feel unwelcome possible ill leave,0,sadness,213,45
keep feeling pleasantly surprised supportiveness also ease new situation,5,surprise,93,15
feeling anymore vigorous sexual activity coming yes misspelt cumming day part begin fall,1,joy,152,30
feel mom graceful warm loving smile rob time nurture heal,1,joy,87,19
feel talk brother law extremely popular one think stiff,1,joy,103,23
ate could feel gentle tingle throughout almost feeling healing taking place cellular level,2,love,117,23
feel like pressured young beautiful thin depending trend girl rejuvenated butt implant,4,fear,133,23
began several time week feeling tortured hallucination moving people figure sound vibration,4,fear,127,20
nearly finished week detox feel amazing,5,surprise,58,12
feel selfish read back former post never asked prayer others never considered may others deserve prayer answered,3,anger,202,39
know pain parent feel enraged child becomes violent,3,anger,66,12
roller coaster emotion supposed feeling something unpleasant coming,0,sadness,109,18
suppose truth need shared havent feeling faithful lately ive dwelled doubt uncertainty faith,2,love,147,28
feeling brave bought clearly makeup,1,joy,75,16
feeling miserable c also proudest mum earth,0,sadness,64,14
figure family love u matter around anyone else feel embarrassed michelle go ballistic,0,sadness,113,20
necessarily think f bomb sex necessary story feel reassured see print journal,1,joy,125,25
feel ovary aching talking like put,0,sadness,62,15
feel like much chris mostly took many picture unimportant stuff,0,sadness,97,19
im tired book ready finding given unsuitable image feeling blamed result sit well,0,sadness,160,33
successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief,1,joy,189,38
think feeling one nay important thing,1,joy,65,13
feel completely honored influence young talented fully alive beautiful girl woman,1,joy,100,17
feel angered firey,3,anger,24,5
feel like miserable piece garbage,0,sadness,40,8
feel like need make list leanne would appalled thought dont miss anything,3,anger,102,22
drove dannika school feeling little bit rushed greeted turned corner,3,anger,110,23
remember feeling hellip furious shooter,3,anger,53,9
feel happy excited since learned many thing,1,joy,60,12
feel show around show horse people trusting relaxed show horse safe quiet handled frequently,1,joy,146,26
couple thing left make start december done feeling smug,1,joy,99,22
think u could make feel realize everything ok,1,joy,77,16
feel worthless time struggling finding work,0,sadness,68,12
able lay bed dark feel terrified least,4,fear,87,21
ready meet mom airport feel ever supportive arm around,2,love,82,17
im feeling bitter today mood strange entire day guess,3,anger,83,17
mum brother passed away involved car accident bringing present passed form five exam flying colour,0,sadness,161,31
letting go animosity towards anyone feel wronged,3,anger,82,17
talk dog feel understand word read emotion know supportive decided go home,2,love,137,28
feel like throwing away shitty piece shit paper,0,sadness,56,11
im starting feel wryly amused banal comedy error life turning,1,joy,86,17
find every body beautiful want people feel vital body,1,joy,78,15
hear owner feel victimized association association attorney property manager,0,sadness,110,17
say goodbye fam theyre sad cry feel like heartless bitch hey im pretty excited flying first time know also spend year another country,3,anger,197,41
wont let child cry feel loving lily little going opportunity lasted short month,2,love,164,33
alba feel good im fitting,1,joy,36,9
feel excited im feel like ton catching,1,joy,86,20
also know good feel look back see honored word help start,1,joy,103,23
mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivated saw kid wushu performance whole heartedly despite tiredness,0,sadness,200,33
feel like thing getting little overwhelming spritz toner really help calm soothe,1,joy,111,21
hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,1,joy,241,44
feeling festive today even going put tree soon finished catching week going ons coronation street,1,joy,168,36
finding ill seriously,1,joy,43,9
alright class combination feeling unsuccessful man handled stress late horrible week resulted almost cry finished grappling,0,sadness,178,31
feel rarely advance worthwhile cause always stick rule posting anything online wouldnt prepared say somebody face,1,joy,160,30
feeling useful,1,joy,23,5
feel like pain imagine becoming passionate group idea causing pain,2,love,126,24
feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair,0,sadness,236,49
im feeling homesick yet im feeling alright,0,sadness,60,11
dance feel pretty,1,joy,28,6
workout every morning feel fabulous,1,joy,55,10
feel eye touch word eye know assuredly return love know shall vain,0,sadness,175,39
feeling fabulous friday morning started get awful cramp work,1,joy,92,17
feel honoured able call friend share brotherhood,1,joy,81,15
begun feel apprehensive thick black rain cloud stormed sky town,4,fear,93,17
stated reason feel fearful feel unsafe,4,fear,73,16
feel like getting shaken tsa quite yet pulled side creative croissant lunch,4,fear,122,26
get group feel really awkward overcompensate talkative getting really quiet,0,sadness,108,19
